Elow [GeV], Ehigh [GeV], numu [POT^-1 m^-2], numubar [POT^-1 m^-2], nue [POT^-1 m^-2], nuebar [POT^-1 m^-2], nutau [POT^-1 m^-2], nutaubar [POT^-1 m^-2]
7.009216863860871,8.141810630738087,4.489854490193549e-05,3.5360868587427826e-05,3.111582714306418e-06,3.1223623628301834e-06,4.3697474577763107e-07,4.599299311864037e-07
8.141810630738087,9.457416090031758,4.171345942719967e-05,3.156167126295477e-05,3.108124714518248e-06,3.084643042329091e-06,5.023838793187918e-07,5.028096735591123e-07
9.457416090031758,10.985605433061178,3.898090600702829e-05,3.0282493197589792e-05,3.4345198706813493e-06,3.362629000424892e-06,6.298954585882599e-07,5.377266988480478e-07
10.985605433061178,12.760729313591826,3.47816623978633e-05,2.67640659859312e-05,3.458260705738099e-06,3.5167518446697385e-06,7.48132205009117e-07,4.913805702663749e-07
12.760729313591826,14.822688982138951,3.1196868486930014e-05,2.4542560918382634e-05,3.804042265194023e-06,3.9341484422292845e-06,8.293621302622125e-07,5.203902077411072e-07
14.822688982138951,17.2178331866347,2.871323584526989e-05,2.185656669457645e-05,4.270549745442448e-06,4.332447200824188e-06,8.64696846132113e-07,4.7649923315254543e-07
17.2178331866347,20.000000000000004,2.622808655509763e-05,2.0063563213225228e-05,4.626084542609655e-06,4.676820868451577e-06,8.828667678094708e-07,4.4775521102368423e-07
20.000000000000004,23.231726992830847,2.3219822324992025e-05,1.6979086222208922e-05,5.081299529904598e-06,4.778894353996177e-06,7.462463371133548e-07,4.361967296094385e-07
23.231726992830847,26.985656953471263,2.0979951630844862e-05,1.4946384998619982e-05,5.569885845786484e-06,4.842187613474761e-06,6.425744988253369e-07,4.1665321916022734e-07
26.985656953471263,31.346170753261585,1.8630554919405182e-05,1.3431824897265565e-05,6.104806836370669e-06,4.846078192602075e-06,5.416339348086441e-07,4.3225176753900595e-07
31.346170753261585,36.411284060521595,1.7583242202225257e-05,1.1757431711848585e-05,6.315060292197897e-06,4.724168987787483e-06,3.9884927825088706e-07,4.662414259069727e-07
36.411284060521595,42.29485053762257,1.56675258762455e-05,9.777690474082405e-06,6.492304379471137e-06,4.378753990790761e-06,3.1717789573960156e-07,4.928379099047518e-07
42.29485053762257,49.12912104463162,1.2308701890183339e-05,7.440242829706553e-06,6.481688069712175e-06,3.6814552578524955e-06,2.824588904216648e-07,4.97863773882285e-07
49.12912104463162,57.067716375331116,1.161710788086334e-05,6.026068108097979e-06,6.471360292076233e-06,3.4269740264210105e-06,2.546735440075077e-07,5.421679752676054e-07
57.067716375331116,66.28908034679972,9.707604775682576e-06,4.975940450070482e-06,6.1687582351093896e-06,2.9833963418562244e-06,2.342821021367421e-07,4.980413232276127e-07
66.28908034679972,77.000490861134,8.297841771726513e-06,3.709386210372433e-06,5.457823799557905e-06,2.2412295981778086e-06,2.2126181998703642e-07,4.994362014191216e-07
77.000490861134,89.4427190999916,6.074528794021106e-06,2.4965295670944983e-06,4.328319696233146e-06,1.6015407385429068e-06,1.4262464963209687e-07,3.958644718011701e-07
89.4427190999916,103.89544158137303,4.292155605848464e-06,1.4427962323055081e-06,3.195397534381224e-06,9.776593251992756e-07,1.0414117596569404e-07,2.749028360566467e-07
103.89544158137303,120.68352673090327,2.7761949491259313e-06,7.613239070835627e-07,2.088390467365021e-06,4.986327978167148e-07,6.350769332071928e-08,1.8813360982675836e-07
120.68352673090327,140.18433727721748,1.6194940993760087e-06,3.959005686127453e-07,1.1290642605675e-06,2.585991248108987e-07,2.7505930838483833e-08,1.2696694725870104e-07
140.18433727721748,162.83621261476173,7.526085881135781e-07,1.5835123270964784e-07,6.319896559236755e-07,9.823141256997564e-08,1.591019872707214e-08,4.9311568422395247e-08
162.83621261476173,189.14832180063522,3.0049194025114205e-07,4.552893137527904e-08,2.427696735285586e-07,1.9407066955733527e-08,2.447722881088021e-09,1.854778086578139e-08
189.14832180063522,219.71210866122348,1.6502878067157596e-07,1.8933694151208505e-08,6.861597562778334e-08,5.0205644490322765e-09,0.0,7.3431598212847365e-09
219.71210866122348,255.21458627183657,5.1008895843941674e-08,0.0,9.154633226432173e-09,1.0041128898064553e-09,1.835792160816016e-09,0.0
255.21458627183657,296.45377964277924,1.8003139709626472e-08,0.0,1.1443291533040216e-09,0.0,0.0,6.119299851070614e-10
296.45377964277924,344.35666373269385,3.0005232849377455e-09,0.0,0.0,0.0,0.0,0.0
344.35666373269385,400.0,0.0,0.0,0.0,0.0,0.0,0.0
